Medicine Name,Category Name,Item Type,Opening Stock,Purchase Qty,Closing Quantity,Active Stock,,,
ABSORBENT COTTON 20GM,GENERAL SURGERY,BOX,0,2,0,2,,,
ABSORBENT COTTON WOOL 20 GM,GENERAL SURGERY,BOX,1,2,1,2,,,
ABZ SYP,GENERAL MEDICINE,BOX,1,2,1,2,,,
ACECLOWAL MR TAB 10'S,GENERAL MEDICINE,BOX,0,0,0,0,,,
ACECLOWAL SP,GENERAL MEDICINE,BOX,1,10,0,11,,,
AAPSON SOFT CERVICAL COLLAR M,ORTH,BOX,1,1,0,2,,,
AAPSON TENNIS ELBOW SUPPORT UNIVERSAL,ORTH,BOX,0,3,0,3,,,
AAPSON WRIST FOREARM SPLINT LEFT/RIGHT,ORTH,BELT,0,5,2,3,,,
ABDOMINAL BELT,ORTH,GENERAL SURGERY,0,0,0,0,,,
ABGEL,GENERAL MEDICINE,XXL,1,2,1,2,,,
ABSOLUT GOLD STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOX,1,8,3,6,,,
ABSOLUT WOMAN CAP,GENERAL MEDICINE,STRIP,13,703,14,702,,,
ABSORBENT COTTON 200GM,GENERAL SURGERY,STRIP,7,137,7,137,,,
ABSORBENT COTTON 20GM,GENERAL SURGERY,PACKET,0,7,0,7,,,
ABSORBENT COTTON WOOL 20 GM,GENERAL SURGERY,PACKET,6,17,5,18,,,
ABZ SYP,PED,PACKET,3,4,3,4,,,
ACECLOWAL MR TAB 10'S,GENERAL MEDICINE,BOTTLE,1,3,0,4,,,
ACECLOWAL SP,GENERAL MEDICINE,STRIP,8,40,5,43,,,
ACEMIZ MR TABLET,GENERAL MEDICINE,TAB,4,20,0,24,,,
ACEMIZ S TABLET,GENERAL MEDICINE,STRIP,1,3,0,4,,,
ACICA MR,GENERAL MEDICINE,STRIP,9,125,0,134,,,
ACICA SP,GENERAL MEDICINE,TAB,5,391,22,374,,,
ACILOC 150MG STRIP OF 30 TABLETS,GENERAL MEDICINE,TAB,8,766,14,760,,,
ACILOC INJECTION,GENERAL MEDICINE,STRIP,21,13,5,29,,,
ACIMOL MR TAB,GENERAL MEDICINE,AMPOULE,0,36,0,36,,,
ACINIL O SUGAR FREE REFRESHING MINT FLAVOUR SUSPENSION 120ML,GENERAL MEDICINE,STRIP,3,8,0,11,,,
ACIREST PLUS,GENERAL MEDICINE,BOTTLE,0,13,2,11,,,
ACIVIR DT 200MG TABLET,GENERAL MEDICINE,TAB,8,20,7,21,,,
ACIVIR DT 400MG TABLET,GENERAL MEDICINE,STRIP,2,4,2,4,,,
ACNESTAR GEL,GENERAL MEDICINE,STRIP,9,11,3,17,,,
AD 10 SACHET OF 1GM POWDER FOR ORAL SUSPENSION,PED,TUBE,0,1,0,1,,,
AD,GENERAL SURGERY,DYPER,0,1,0,1,,,
AD 10 SACHET OF 1GM POWDER FOR ORAL SUSPENSION,PED,SACHET,0,15,5,10,,,
AD 100MG CAPSULE,GENERAL MEDICINE,STRIP,1,100,2,99,,,
ADHESIVE TAPE 5CM*5M,GENERAL SURGERY,PACKET,0,2,0,2,,,
ADICEF 1GM INJ,GENERAL MEDICINE,INJECTION,0,100,0,100,,,
ADRENALINE INJ (AQUA FINA),GENERAL MEDICINE,AMPOULE,6,70,6,70,,,
ADRENALINE TARTARATE INJ 1ML,GENERAL MEDICINE,INJECTION,11,20,6,25,,,
ADULT DIAPER PULL UPS LARGE,PED,DIAPER,1,74,1,74,,,
ADULT DIAPER PULL UPS MEDIUM DIAPER 1,PED,PACKET,1,1,0,2,,,
ADULT DIAPER PULL UPS XL DIAPER 1,PED,PACKET,1,111,2,110,,,
ADVANCED AD LINE EXTENSION LINE WITH 3 WAY 200 CM STOP COCK,GENERAL SURGERY,PACKET,1,99,9,91,,,
AEKLING DISPOSABLE SKIN BLADE RAZOR 1'S,GENERAL SURGERY,DIAPER,0,4,0,4,,,
AEROCORT BOX OF 60 ROTACAPS,GENERAL MEDICINE,BOX,0,0,0,0,,,
AF 400MG STRIP OF 1 TABLETS,GENERAL MEDICINE,PACKET,0,0,0,0,,,
AF KIT,GENERAL MEDICINE,BOX,0,2,0,2,,,
AFICARD INJ,GENERAL MEDICINE,STRIP,0,4,0,4,,,
AGUMERZ 1.2GM INJ 1'S,GENERAL MEDICINE,STRIP,0,1,0,1,,,
ALAMIN BOTTLE OF 200ML LIQUID,GENERAL MEDICINE,INJECTION,1,10,1,10,,,
ALBUCEL 20% INJECTION 100ML,GENERAL MEDICINE,BOX,1,0,1,0,,,
ALBUMIN 20% BOTTLE OF 100ML SOLUTION FOR INFUSION,GENERAL MEDICINE,INJ,0,25,0,25,,,
ALBUREL 20% BOTTLE OF 100ML INFUSION,GENERAL MEDICINE,MASK,1,1,1,1,,,
ALEX 5MG SUGAR FREE STRIP OF 10 LOZENGES,GENERAL MEDICINE,BOTTLE,0,1,0,1,,,
ALEX COUGH LOZENGES,GENERAL MEDICINE,VIAL,0,1,0,1,,,
ALFA SOOTHER NIPPLE,PED,BOTTLE,0,1,0,1,,,
ALITE HAND SANITIZER LEMON 55ML,GENERAL SURGERY,BOTTLE,1,5,1,5,,,
ALKASTON B6 BOTTLE OF 200ML SOLUTION,GENERAL MEDICINE,STRIP,0,2,0,2,,,
ALKEM ORS APPLE FLAV LIQUID,PED,STRIP,10,5,2,13,,,
ALKEM ORS ORANGE FLAV LIQUID,PED,PACKET,6,15,6,15,,,
ALLEGRA 120MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0,1,0,1,,,
ALLEGRA 180MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0,1,0,1,,,
ALLEGRA M TABLET,GENERAL MEDICINE,IV,1,100,2,99,,,
ALLEGRA NASAL DUO 70MD BOTTLE OF 7GM NASAL SPRAY,GENERAL MEDICINE,BOTTLE,1,10,1,10,,,
ALLEGRA NASAL SPRAY 120MD,GENERAL MEDICINE,BOTTLE,30,56,30,56,,,
ALLEGRA RASPBERRY VANILLA SUSP 100ML,GENERAL MEDICINE,STRIP,8,8,0,16,,,
ALLEGRA SUSP 60ML,GENERAL MEDICINE,STRIP,0,0,0,0,,,
ALLERCET COLD TABLET,GENERAL MEDICINE,STRIP,7,29,1,35,,,
ALLERCET DC TABLET,GENERAL MEDICINE,BOTTLE,0,3,0,3,,,
ALLOPURINOL 100,GENERAL MEDICINE,BOTTLE,1,25,1,25,,,
ALMOX CV 625MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,3,7,2,8,,,
ALOESOFT LOTION 100ML,GENERAL MEDICINE,BOTTLE,0,4,0,4,,,
ALTUM PLUS STRIP OF 1 TABLET,GENERAL MEDICINE,STRIP,25,707,10,722,,,
AMBRODIL 30MG TABLET,GENERAL MEDICINE,STRIP,1,6,3,4,,,
AMIFRU 40MG TABLET,GENERAL MEDICINE,TAB,0,1,0,1,,,
AMIJECT 500MG INJECTION,GENERAL MEDICINE,STRIP,0,10,0,10,,,
ALOESOFT LOTION 100ML,GENERAL MEDICINE,BOTTLE,0,2,0,2,,,
ALTUM PLUS STRIP OF 1 TABLET,ORTH,STRIP,7,24,7,24,,,
AMBRODIL 30MG TABLET,PED,STRIP,0,5,0,5,,,
AMIFRU 40MG TABLET,GENERAL MEDICINE,INJ,8,10,0,18,,,
AMIJECT 500MG INJECTION,GENERAL MEDICINE,STRIP,0,1,0,1,,,
AMIJET 500MG INJ,GENERAL MEDICINE,VIAL,0,30,0,30,,,
AMINO SEAL CAPSULE 10,GENERAL SURGERY,VIAL,0,20,0,20,,,
AMINOPHYLLINE 25MG INJ (TORQUE),ENT,STRIP,2,3,0,5,,,
AMINORICH CAP,GENERAL MEDICINE,VIAL,20,20,20,20,,,
AMITAZ 500,GENERAL MEDICINE,STRIP,5,16,0,21,,,
AMIZ 500MG INJ,GENERAL MEDICINE,INJ,7,75,1,81,,,
AMLIP 10MG TABLET,GENERAL MEDICINE,INJECTION,3,20,3,20,,,
AMLOKIND 5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,2,1,1,2,,,
AMLOKIND AT 5/50MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,6,17,1,22,,,
AMLOPRESS AT STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,0,3,2,1,,,
AMLOSAFE 2.5MG TABLET,GENERAL MEDICINE,STRIP,0,2,0,2,,,
AMLOSAFE 5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,3,3,3,3,,,
AMLOVAS AT 25MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,15,31,1,45,,,
AMOXYCLAV 1.2GM INJ,GENERAL MEDICINE,STRIP,0,1,0,1,,,
AMOXYCLAV 625MG TAB 10'S,GENERAL MEDICINE,VIAL,3,47,1,49,,,
AMPIROK 375,GENERAL MEDICINE,STRIP,4,28,4,28,,,
ANAFORTAN DROPS,GENERAL MEDICINE,TAB,11,134,5,140,,,
ANAFORTAN STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,1,13,1,13,,,
ANAFORTAN SYP,GENERAL MEDICINE,STRIP,1,52,4,49,,,
ANAKKU BREST PUMP,PED,BOTTLE,2,38,2,38,,,
ANAWIN 0.5% INJ 20ML,ORTH,PACKET,0,2,0,2,,,
ANAWIN 0.50MG INJ 20ML,ORTH,VIAL,0,47,22,25,,,
ANAWIN HEAVY INJ 4ML,ORTH,VIAL,7,89,0,96,,,
ANGEL FEEDING BOTTLE 125ML,PED,AMPOULE,0,200,2,198,,,
ANGIONOX 60MG INJ,GENERAL MEDICINE,BOTTLE,1,12,1,12,,,
ANKLE BINDER LARGE 1,ORTH,PRE-FILLED SYRINGE,0,10,1,9,,,
ANKLE BINDER MEDIUM 1,ORTH,BANDAGE,0,20,0,20,,,
ANKLE BINDER XL 1,ORTH,BANDAGE,0,50,0,50,,,
ANOBLISS CREAM,GENERAL MEDICINE,GRIP,0,4,4,0,,,
ANOEASE CAP 4'S,GENERAL MEDICINE,GRIP,0,3,0,3,,,
ANOVATE OINT 20GM,GENERAL SURGERY,PACKET,1,18,3,16,,,
ANTI D 300MCG VIAL OF 1ML INJECTION,OBGY,PACKET,3,18,3,18,,,
APDROPS LP EYE DROPS 5ML,ENT,PACKET,1,5,4,2,,,
APIGY,GENERAL MEDICINE,TUBE,5,30,2,33,,,
APTIMUST SYP 200ML,PED,STRIP,7,191,0,198,,,
APTIVATE PINEAPPLE FLAVOUR SYRUP 175ML,PED,TUBE,1,15,0,16,,,
ARACHITOL 3LAC INJ 1*6,GENERAL MEDICINE,SPRAY,0,4,0,4,,,
ARACHITOL 6LAC INJ 1*6,GENERAL MEDICINE,INJ,0,4,1,3,,,
ARGIHOPE 1000MG TABLET,GENERAL MEDICINE,VIAL,1,8,1,8,,,
ARKAMIN 100MCG STRIP OF 30 TABLETS,GENERAL MEDICINE,BOTTLE,0,1,0,1,,,
ASKPRO,GENERAL MEDICINE,TAB,0,2,0,2,,,
ASTHAKIND DX EXP 60ML,PED,BOTTLE,4,53,5,52,,,
ASTHALIN 100MCG INHALER,ENT,BOTTLE,0,1,0,1,,,
ATARAX 10MG STRIP OF 15 TABLETS,ENT,AMPOULE,7,12,2,17,,,
ATIVAN 2MG STRIP OF 10 TABLETS,GENERAL MEDICINE,AMPOULE,18,254,1,271,,,
AUGMENTIN 1.2GM INJ 20ML,GENERAL MEDICINE,STRIP,24,876,9,891,,,
AVENT BREAST PUMP,PED,SACHET,2,214,14,202,,,
AXONE 1GM INJ,GENERAL MEDICINE,STRIP,0,2,0,2,,,
AZEE 100MG PEPPERMINT FLAV DRY SYP,PED,STRIP,6,41,2,45,,,
B-FIT ADULT DIAPER MEDIUM 10 NO'S,PED,CAP,0,2,0,2,,,
B PROTIN CHOCOLATE NUTRITION SUPPLEMENT BOTTLE OF 200 G,GENERAL MEDICINE,BOTTLE,0,2,0,2,,,
BABY CARE OIL,PED,BOTTLE,0,1,0,1,,,
BABY CARE SHAMPOO,PED,BOTTLE,0,9,0,9,,,
BABY CARE WET WIPES 50'S,PED,BOTTLE,0,28,2,26,,,
BANDY 400MG STRIP OF 1 TABLET,GENERAL MEDICINE,BOTTLE,2,86,1,87,,,
BANDY 400MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0,1,0,1,,,
BD CORD CLAMP,PED,TAB,7,10,1,16,,,
BECOZULES CAP 15'S,GENERAL MEDICINE,POWDER,0,75,0,75,,,
BENADRYL BOTTLE OF 100ML SYRUP,ENT,STRIP,1,13,1,13,,,
BETADINE 10% OINT,GENERAL SURGERY,BOTTLE,0,3,0,3,,,
BISLERI WATER 1LTR,GENERAL SURGERY,BOTTLE,0,40,5,35,,,
BONEWAX W 810,GENERAL SURGERY,BOTTLE,4,4,4,4,,,
BRO ZEDEX LIQUICAP,ENT,BOX,1,1,1,1,,,
BRO ZEDEX SYP,ENT,PACKET,11,530,0,541,,,
BUDESAL 0.5MG RESPULES 5*2ML,ENT,STRIP,1,19,3,17,,,
CANDID 1% LOTION 30ML,GENERAL SURGERY,STRIP,0,0,0,0,,,
CALCINASE NASAL SPRAY,ENT,BOTTLE,3,3,3,3,,,
CAPRIN 5000 IU INJ,GENERAL MEDICINE,BOTTLE,1,9,0,10,,,
CHOLTRAN SACH 5GM,GENERAL MEDICINE,BOTTLE,0,10,0,10,,,
CHYMORAL FORTE DS STRIP OF 10 TABLETS,ORTH,DROP,0,2,-1,3,,,
ATENEX 25MG TABLET,GENERAL MEDICINE,STRIP,0,3,0,3,,,
ATIVAN 2MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0,4,0,4,,,
ATM 100MG BOTTLE OF 15ML SUSPENSION,PED,BOTTLE,4,90,3,91,,,
ATM 200MG BOTTLE OF 15ML SUSPENSION,PED,BOTTLE,5,62,5,62,,,
ATNEX 25,GENERAL MEDICINE,TAB,0,3,0,3,,,
ATOCOR 40MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,13,3,0,16,,,
ATOCOR 80 STRIP OF 14 TABLETS,GENERAL MEDICINE,STRIP,0,1,0,1,,,
ATORMAC GOLD,GENERAL MEDICINE,CAP,0,2,0,2,,,
ATORSTIN 20MG TABLET 10'S,GENERAL MEDICINE,STRIP,5,1,0,6,,,
ATOWAY 10 MG,GENERAL MEDICINE,TAB,5,1,0,6,,,
ATROPINE SULPHATE INJ 1ML,GENERAL MEDICINE,INJECTION,8,60,2,66,,,
AUGMENTIN 1.2GM INJ 20ML,GENERAL MEDICINE,DRY VIAL,2,50,2,50,,,
AUGMENTIN DUO 625MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,3,13,0,16,,,
AUGMENTIN DUO SYP,GENERAL MEDICINE,BOTTLE,0,15,0,15,,,
AUGTRAM,GENERAL MEDICINE,TAB,0,13,0,13,,,
AUTRIN STRIP OF 30 CAPSULES,GENERAL MEDICINE,STRIP,25,3,0,28,,,
AVENT BREAST PUMP,PED,BOX,1,2,0,3,,,
AVIL INJ 2ML,GENERAL MEDICINE,INJ,18,263,97,184,,,
AVIL 22.75MG/ML INJECTION 2ML,GENERAL MEDICINE,AMPOULE,0,0,0,0,,,
AVIL 25MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,16,53,6,63,,,
AXALIN BOTTLE OF 100ML EXPECTORANT,ENT,BOTTLE,0,1,0,1,,,
AXONE 1GM INJ,GENERAL MEDICINE,INJECTION,8,60,8,60,,,
AZEE 100MG PEPPERMINT FLAV DRY SYP,PED,BOTTLE,0,1,0,1,,,
AZEE 500MG STRIP OF 3 TABLETS,GENERAL MEDICINE,STRIP,1,33,0,34,,,
AZEE 500MG STRIP OF 5 TABLETS,GENERAL MEDICINE,STRIP,3,12,3,12,,,
AZIMRIN 500,GENERAL MEDICINE,TAB,0,3,0,3,,,
B-FIT ADULT DIAPER MEDIUM 10 NO'S,PED,FILTER SET,0,1,0,1,,,
B-PROTIN DRY FRUIT CHOCOLATE POWDER 200GM,PED,PACKET,0,1,0,1,,,
B BACT 2% TUBE OF 15GM OINTMENT,GENERAL SURGERY,BOTTLE,0,4,0,4,,,
B PROTIN CHOCOLATE NUTRITION SUPPLEMENT BOTTLE OF 200 G,GENERAL MEDICINE,TUBE,0,1,0,1,,,
B SKIN GRAFT BLADE 1 NO'S,GENERAL SURGERY,BOX,10,10,10,10,,,
BABY CARE OIL,PED,BOTTLE,0,274,0,274,,,
BABY CARE SHAMPOO,PED,BOX,0,0,0,0,,,
BABY CARE WET WIPES 50'S,PED,BOTTLE,0,0,0,0,,,
BABY CHOICE SILICON NIPPLE,PED,BOTTLE,0,0,0,0,,,
BABY DOVE RICH MOISTURE WIPES 50 PCS,PED,PACKET,1,7,1,7,,,
BABY FUN WET WIPES 80'S,PED,BOX,0,5,0,5,,,
BABY POWDER - 50 GM,PED,PACKET,0,22,0,22,,,
BABY WIPES 10'S,PED,PACKET,0,7,0,7,,,
BABYDAY SOAP 75GM,PED,BOTTLE,0,1,0,1,,,
BACIPEN 250MG CAP,GENERAL MEDICINE,PACKET,1,33,1,33,,,
BACLOFEN TABLET 10,ORTH,BOX,0,1,0,1,,,
BACLONOL 10MG TABLET 10'S,ORTH,STRIP,0,1,1,0,,,
BACTISAFE SOLUTION 100 ML,GENERAL MEDICINE,STRIP,0,1,0,1,,,
BACTIV BOTTLE OF 10 PROBIOTIC CAPSULES,GENERAL MEDICINE,STRIP,0,1,0,1,,,
BACTOCLAV 375MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,4,11,4,11,,,
BACTOCLAV 625MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0,28,0,28,,,
BAIDYANATH BALANT KADHA NO.1 LIQUID 200 ML,GENERAL MEDICINE,STRIP,15,96,1,110,,,
BAIDYANATH BALANT KADHA NO.2 LIQUID 200 ML,GENERAL MEDICINE,STRIP,35,1313,0,1348,,,
BAIDYANATH SHATAVARI GRANULES 200GM,GENERAL MEDICINE,BOTTLE,1,4,1,4,,,
BAJAJ COCONUT HAIR,GENERAL MEDICINE,BOTTLE,1,3,0,4,,,
BANDAGE CLOTH 10CMX2.5M,GENERAL SURGERY,CONTAINER,0,0,0,0,,,
BANDAGE CLOTH 2 INCH,GENERAL SURGERY,OIL,6,6,6,6,,,
BANDY 400MG STRIP OF 1 TABLET,GENERAL MEDICINE,PACKET,28,30,28,30,,,
BANDY 400MG STRIP OF 10 TABLETS,GENERAL MEDICINE,PACKET,0,0,0,0,,,
BANDY ORAL SUSPENSION 10ML,PED,STRIP,0,192,0,192,,,
BARD 14 F SILICONE FOLEY CATHETER 1 NO'S,GENERAL SURGERY,STRIP,9,92,3,98,,,
BARD 16 F SILICONE FOLEY CATHETER 1 NO'S,GENERAL SURGERY,BOTTLE,3,14,1,16,,,
BD CORD CLAMP,PED,PACKET,0,8,0,8,,,
BD EXTENSION TUBE 200CM,GENERAL SURGERY,PACKET,3,7,4,6,,,
BD INSULIN ULTRAFINE 100 IU/31 G SYRINGE 1 ML,GENERAL SURGERY,PACKET,3,7,4,6,,,
BECOSULES CAP 15'S,GENERAL MEDICINE,CIRUIT,0,1,0,1,,,
BECOSULES STRIP OF 20 CAPSULES,GENERAL MEDICINE,BOX,0,0,0,0,,,
BENADRYL BOTTLE OF 100ML SYRUP,ENT,PACKET,0,10,0,10,,,
BENALGIS 100MG TABLET,GENERAL MEDICINE,PACKET,0,2,0,2,,,
BENDEX 400MG TABLET,GENERAL MEDICINE,PACKET,39,36,39,36,,,
BENFOSULES STRIP OF 10 CAPSULES,GENERAL MEDICINE,BELT,2,2,0,4,,,
BENZAC AC 2.5% TUBE OF 30GM GEL,GENERAL SURGERY,BELT,1,2,1,2,,,
BEPLEX FORTE STRIP OF 20 TABLETS,GENERAL MEDICINE,BELT,1,2,0,3,,,
BETADINE 10% OINT,GENERAL SURGERY,BELT,1,1,0,2,,,
BETADINE 2% GARGLE BIG MINT 100ML,ENT,HINGES,0,1,0,1,,,
BETADINE 200MG VAG PESSARIES,OBGY,BELT,1,2,1,2,,,
BETNESOL INJ 8*1ML,GENERAL MEDICINE,TUBE,0,1,0,1,,,
BETONIN AST SUGAR FREE BOTTLE OF 200ML SYRUP,GENERAL MEDICINE,AMPOULE,5,100,5,100,,,
BISLERI WATER 1LTR,GENERAL SURGERY,STRIP,0,1,0,1,,,
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,GENERAL MEDICINE,BOTTLE,1,6,0,7,,,
BLUVIT D3 BOTTLE OF 30ML ORAL DROPS,GENERAL MEDICINE,STRIP,14,14,0,28,,,
BONEWAX W 810,GENERAL SURGERY,BOTTLE,1,4,0,5,,,
BOOSTEX FORTE CAP 15'S,GENERAL MEDICINE,STRIP,18,61,2,77,,,
BRO ZEDEX LIQUICAP,ENT,CAP,0,33,3,30,,,
BRO ZEDEX SYP,ENT,STRIP,0,0,0,0,,,
BROM 2.5MG TABLET,ENT,TUBE,0,5,0,5,,,
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,ORTH,BOTTLE,0,1,0,1,,,
BUDECORT 0.5MG PACKET OF 2.5ML RESPULES,ENT,SUSP,1,50,1,50,,,
BENALGIS 100MG TABLET,GENERAL MEDICINE,STRIP,0,3,0,3,,,
BENDEX 400MG TABLET,GENERAL MEDICINE,STRIP,7,25,7,25,,,
BENFOSULES STRIP OF 10 CAPSULES,GENERAL MEDICINE,INJ,0,10,0,10,,,
BENZAC AC 2.5% TUBE OF 30GM GEL,GENERAL SURGERY,STRIP,0,1,0,1,,,
BEPLEX FORTE STRIP OF 20 TABLETS,GENERAL MEDICINE,TUBE,0,1,0,1,,,
BETA NATURAL INTIMATE FOAM WASH - GENTLE PROTECTION - 100ML,GENERAL MEDICINE,STRIP,5,5,0,10,,,
BETADINE 10% OINT,GENERAL SURGERY,BOTTLE,0,2,0,2,,,
BETADINE 2% GARGLE BIG MINT 100ML,ENT,INJ,1,120,1,120,,,
BETADINE 2% GARGLE MINT 50ML,ENT,TUBE,0,0,0,0,,,
BETADINE 200MG VAG PESSARIES,OBGY,BOTTLE,0,40,0,40,,,
BETADINE 5% OINT 25GM,GENERAL SURGERY,BOTTLE,4,165,5,164,,,
BETADINE 7.5% SCRUB 50ML,GENERAL SURGERY,STRIP,5,16,0,21,,,
BETAKIND GARGLE 2 % SYRUP 50 ML,ENT,TUBE,3,10,3,10,,,
BETANI INJ,GENERAL MEDICINE,BOTTLE,1,6,1,6,,,
BETASONE N DROPS 10ML,ENT,BOTTLE,0,2,0,2,,,
BETNECORT INJ,GENERAL MEDICINE,INJ,17,20,2,35,,,
BETNESOL INJ 8*1ML,GENERAL MEDICINE,INJ,0,10,0,10,,,
BETNESOL N BOTTLE OF 5ML EYE/EAR DROPS,ENT,BOTTLE,0,1,0,1,,,
BETNI INJ,GENERAL MEDICINE,INJ,0,50,5,45,,,
BETNOVATE 0.1% CREAM 20GM,GENERAL SURGERY,INJECTION,1,1,1,1,,,
BETNOVATE GM CREAM 20GM,GENERAL SURGERY,AMPOULE,5,2,5,2,,,
BETNOVATE N TUBE OF 25GM CREAM,GENERAL SURGERY,BOTTLE,0,10,4,6,,,
BETONIN AST BOTTLE OF 170ML SYRUP,GENERAL MEDICINE,AMPOULE,0,3,0,3,,,
BETONIN AST SUGAR FREE BOTTLE OF 200ML SYRUP,GENERAL MEDICINE,INJ,0,100,0,100,,,
BETT INJ 0.5ML,GENERAL MEDICINE,TUBE,4,72,3,73,,,
BILAKAM M,GENERAL MEDICINE,TUBE,3,13,1,15,,,
BILAMBIC M STRIP OF 10 TABLETS,GENERAL MEDICINE,TUBE,0,3,0,3,,,
BILASTIHEAL M,GENERAL MEDICINE,BOTTLE,1,6,1,6,,,
BILATOP M,GENERAL MEDICINE,BOTTLE,0,10,0,10,,,
BINAFIDE,GENERAL MEDICINE,AMPOULE,1,0,1,0,,,
BINAFIDE DUO,GENERAL MEDICINE,TAB,0,2,0,2,,,
BIODINE OINT 125GM,GENERAL SURGERY,STRIP,4,32,3,33,,,
BIOLINE WHITE PETROLEUM JELLY 8 GM,GENERAL SURGERY,TAB,2,2,0,4,,,
BIPIVAC HEAVY INJ,GENERAL MEDICINE,TAB,0,10,0,10,,,
BISLARI,GENERAL SURGERY,RESPULES,38,180,3,215,,,
BISLERI WATER 1LTR,GENERAL SURGERY,RESPULES,21,140,11,150,,,
BISLERI WATER 500ML,GENERAL SURGERY,TUBE,1,10,1,10,,,
BLADMIR 25MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,6,6,6,6,,,
BLADMIR 50MG STRIP OF 10 TABLETS,GENERAL MEDICINE,INJECTION,0,10,0,10,,,
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,GENERAL MEDICINE,BOTTLE,0,266,0,266,,,
BLUVIT D3 BOTTLE OF 30ML ORAL DROPS,PED,BOTTLE,0,314,0,314,,,
BISLERI WATER 500ML,GENERAL SURGERY,BOTTLE,0,48,0,48,,,
BLADMIR 25MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0,3,0,3,,,
BLADMIR 50MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,1,21,2,20,,,
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,GENERAL MEDICINE,BLOOD SET,49,277,20,306,,,
BLUVIT D3 BOTTLE OF 30ML ORAL DROPS,PED,STRIP,10,318,0,328,,,
BON DK 60K STRIP OF 4 CAPSULES,GENERAL MEDICINE,BOTTLE,8,134,0,142,,,
BONEWAX W 810,GENERAL SURGERY,STRIP,0,2,0,2,,,
